StudentNo,FirstRegistrationYear,FirstName,Surname,YearOfBirth,MonthOfBirth,DateOfBirth
52757,2016,Zollie,Bodycote,1970,5,7
52562,2016,Burl,Balazs,1951,8,22
52064,2016,Rayna,Midgely,2001,12,13
51134,2020,Dee dee,Exroll,1982,3,14
50036,2020,Lorrie,Tomsa,1961,1,8
50783,2016,Melly,Dake,1958,6,14
50099,2017,Fina,Angove,2004,2,14
50384,2017,Tallia,Marks,1992,1,27
50507,2018,Powell,Buckston,1998,12,7
50117,2018,Kerstin,Swinden,1954,9,22
50753,2021,Dorothee,Waycot,1952,7,18
52925,2019,Siegfried,Kelleher,1957,10,24
52325,2015,Antoine,Esposi,1950,2,21
50594,2020,Toby,Norkett,1998,7,12
50579,2019,Caye,Kunze,1953,6,3
52439,2020,Corey,Springham,1994,2,13
51587,2018,Mariska,Gewer,1952,2,1
51092,2015,Leah,Hayles,2003,5,5
51797,2021,Wilma,Kidby,1959,10,12
51104,2018,Teodora,Claringbold,1987,2,1
52574,2021,Dalt,Mothersdale,1971,4,22
50171,2017,Analiese,Ellins,2001,7,19
51038,2015,Clara,Morley,1988,1,25
51689,2015,Mona,MacCawley,2001,10,11
51359,2020,Raddie,Grange,1953,12,5
51707,2021,Levi,Neiland,1955,4,13
52304,2019,Salim,Curedale,1959,12,13
51371,2017,Amye,Mabbs,1956,10,25
51461,2017,Grenville,Strong,1956,12,16
50762,2015,Carmina,Hellikes,1965,5,16
51050,2018,Eimile,Doornbos,1981,12,1
52979,2018,Kizzie,Boxe,2001,7,25
51356,2018,Hannis,Probet,1964,1,4
51119,2021,Dania,Searson,1985,2,25
50771,2015,Fayette,Robinette,1955,3,24
52301,2019,Lula,Withrop,1985,6,3
50108,2016,Ermentrude,Becken,1986,4,14
50111,2020,Elisabet,Creffeild,1989,5,11
52190,2020,Roma,Duffet,1965,10,5
50105,2016,Karim,Whyman,1967,2,23
52295,2018,Maddi,Pyrah,1986,9,6
52268,2019,Roxanne,Ower,1951,9,10
51260,2020,Quintana,McKillop,1997,6,4
52664,2017,Ludvig,Mc Harg,1969,5,27
51203,2018,Archaimbaud,MacDunlevy,1970,7,16
52085,2015,Filberto,Liddy,1959,2,8
50381,2016,Elke,Abele,1995,5,21
51320,2018,Dyana,Onele,1956,4,18
50660,2019,Teddie,Gillebride,1995,5,4
52046,2015,Alleen,Fordham,1968,4,26
52100,2017,Cord,Agastina,1975,12,18
50480,2021,Joelly,Luchelli,1999,5,11
52853,2021,Melodie,Riguard,1988,12,22
52688,2017,Jocelyne,Ludvigsen,1979,12,25
50546,2015,Adria,Smorthit,1954,11,6
52184,2017,Nadine,Goracci,1953,7,16
50288,2016,Margaretta,Grisdale,1993,12,8
52631,2016,Sibbie,Bateup,1969,4,4
52529,2017,Ronnica,Borsnall,1985,7,22
51392,2020,Hyacinth,Kmicicki,1965,12,10
52685,2020,Alejandra,Duxbury,2004,2,17
52283,2018,Micheal,Allberry,1980,1,13
50336,2019,Hussein,Tantum,1963,8,19
50615,2016,Marla,Stepney,1957,5,3
51794,2019,Taber,Servant,1960,12,10
52841,2018,Joy,Ekins,2002,10,19
52883,2019,Kyrstin,Byatt,1993,8,19
51383,2017,Lenette,Kubiczek,1998,4,10
52277,2019,Alejoa,Illing,1979,9,25
50975,2018,Starr,Colquit,1972,6,21
52394,2017,Siusan,Weiss,1966,1,21
50435,2021,Lind,Fuchs,1995,2,7
52829,2017,Pacorro,Parkeson,1983,1,8
51353,2020,Pieter,Warsop,1951,4,7
51656,2018,Willem,Audrey,1952,12,19
50666,2019,Aubrey,Norwood,1990,8,19
52430,2021,Clementius,Gerrels,1970,1,21
50237,2018,Ali,Domanek,1957,8,26
52961,2016,Alberto,Patsall,1952,4,21
51701,2018,Lannie,Crossland,1982,4,11
51179,2019,Yetty,Conre,1970,3,18
52649,2020,Consalve,Riccelli,1960,1,25
51677,2016,Cherey,Wogan,2002,3,27
50417,2018,Clemens,Espadas,1950,12,4
50798,2018,Brennan,Serotsky,1990,10,14
52730,2018,Millicent,Gronow,1993,11,23
51149,2018,Kincaid,Fawdry,1975,7,7
52250,2019,Ladonna,Dunsleve,1958,5,14
51209,2016,Neilla,Newton,2003,5,7
51530,2016,Adeline,Solland,1988,11,17
51659,2017,Germain,Godsil,1967,4,2
52106,2021,Kassey,Llywarch,1966,12,22
52442,2018,Dickie,Blennerhassett,1992,11,24
51137,2018,Paulie,Ricciardi,1962,6,20
50606,2018,Jamey,Fulker,1981,5,11
52763,2020,Sibilla,Siddons,1996,3,11
50555,2016,Daphna,Callaghan,2002,11,16
52505,2015,Flss,Gambie,1952,9,18
50276,2018,Andreana,Raigatt,1989,12,24
51362,2016,Pearline,Hubback,1984,2,26
50651,2021,Annabela,Gretton,1967,11,25
51782,2020,Gracia,Nappin,1960,7,12
50234,2016,Jacinda,Billyard,1997,2,1
52136,2020,Ivan,Gumery,2003,10,14
52580,2015,Benedicta,Smallpeice,2001,1,25
52073,2020,Hamlen,Gingel,1992,4,16
52247,2021,Lancelot,Tuvey,1999,4,15
52550,2016,Kimball,Pringer,1996,5,23
50936,2019,Roseline,Durrell,1992,5,9
52469,2019,Edie,Fratczak,1985,10,9
50585,2017,Bernelle,Ripon,1973,10,17
52127,2017,Graeme,Karpenko,1961,9,12
50249,2015,Merilee,Dosdell,1996,9,7
50432,2018,Gonzales,Brastead,1968,2,5
51617,2017,Nicholas,Attenborrow,1969,3,9
52967,2017,Britt,Cuming,1984,11,22
51521,2017,Jenna,Fossey,1975,12,19
51686,2019,Lucine,Bapty,1971,1,23
51470,2015,Angeli,Hovy,2001,7,8
50495,2021,Babette,Saker,1956,1,3
50465,2015,Kara,Denisard,1995,1,19
52862,2019,Stanly,Donnan,1957,1,16
50690,2021,Cammy,Rosina,1951,4,13
52526,2021,Rubin,Creaser,1960,5,21
52727,2015,Gerta,Rickardsson,1966,9,13
51047,2021,Zerk,Sentance,1965,4,7
52592,2017,Fae,Maccaig,1971,6,3
51011,2018,Sande,Burle,2003,1,20
52946,2021,Christine,Havvock,1971,7,13
52886,2020,Lark,Cosley,1990,5,17
50354,2018,Catherin,Kembery,1957,9,16
51344,2020,Shurlocke,Mosdall,1954,10,19
50930,2016,Berti,Apple,1983,5,10
51212,2015,Rock,Stennard,1961,12,25
51665,2020,Godwin,Cardillo,1981,8,7
50093,2018,Carry,Lepper,1952,7,14
50060,2015,Alana,Sherman,1958,3,6
50816,2019,Flo,Jarville,1976,2,5
52868,2017,Jasmin,Dombrell,1992,6,20
50156,2018,Wendel,Retchless,2001,9,26
50678,2021,Lotta,Stubbert,1995,10,3
50357,2015,Jodi,oldey,1975,7,3
50006,2015,Janela,Oxx,1953,5,4
52061,2020,Carter,Farrow,1967,4,23
50114,2020,Jemmie,Kieff,1991,7,3
50078,2016,Corette,Lidstone,1982,4,25
50843,2017,Genni,Blennerhassett,1951,12,21
51752,2016,Hynda,McLagain,1981,3,9
50279,2015,Montgomery,Marty,1963,12,26
52187,2019,Griswold,Shilliday,1976,9,6
52001,2016,Jan,Schermick,1983,7,1
52484,2021,Faun,Crean,1955,7,24
52598,2017,Obidiah,Palley,1994,6,27
51440,2015,Kyrstin,Click,1994,8,11
51290,2020,Ashien,Ede,1984,3,14
52541,2021,Nickolai,Oliphand,1980,9,6
50330,2017,Sheffield,Blanque,2002,7,12
52523,2019,Revkah,Cammis,1993,11,3
52391,2016,Brittney,Lidgley,1974,6,11
50714,2015,Aaron,Meechan,1986,4,28
52889,2021,Rik,Dooher,1995,12,20
51467,2018,Terry,Eykelbosch,1995,4,12
51578,2016,Brit,Grimditch,1959,2,10
51170,2015,Tricia,Worswick,1958,11,3
50195,2020,Baudoin,Marcinkus,1995,1,11
50804,2018,Vincenz,Mowett,1953,11,17
50795,2019,Joshuah,Deans,1998,1,18
50030,2021,Rori,Metzel,1984,12,11
50978,2018,Trace,Adanet,2000,12,24
51281,2017,Cody,Yetman,1974,8,23
50669,2020,Garold,MacCosto,1972,12,26
52433,2015,Mickey,Wilton,1988,9,19
51077,2016,Carmine,Fruchon,1998,10,15
52991,2021,Matilde,Barlee,1951,4,7
50789,2017,Tann,Lomasna,1969,9,26
52322,2017,Virge,Kem,1958,4,25
50645,2019,Sarah,Slixby,1996,3,11
51155,2019,Farley,Crothers,1977,7,8
50141,2017,Gertrude,Bellis,1957,10,6
51899,2017,Lorrie,Itzcovich,1965,11,14
50642,2017,Robb,Pim,1959,6,22
52181,2020,Truda,Maudlin,1966,7,28
50423,2016,Bell,Denis,1979,12,25
52703,2018,Wilmer,Brownhill,1984,9,27
51008,2016,Rea,Jess,1957,6,24
50618,2018,Cindra,Eplate,1990,12,17
51644,2015,Kenneth,Canton,1991,5,3
51911,2020,Ahmed,Coule,2003,1,11
50846,2017,Marika,Newbigging,1973,12,8
51863,2015,Meta,Slegg,1972,7,4
50870,2016,Beckie,Kenen,1986,6,2
51341,2021,Aline,Stoppe,1984,3,25
52403,2015,Elsworth,Duffy,1977,7,18
51866,2017,Lyndsie,Hover,1980,10,16
50102,2018,Bridgette,Luck,1974,3,21
50378,2015,Masha,Greeveson,1992,4,19
51314,2017,Mickey,Burcombe,1996,3,12
50687,2020,Dot,Althorpe,1972,3,7
52901,2018,Heinrik,Radmore,1962,12,1
50282,2017,Seka,Galle,2000,12,3
50984,2020,Helsa,Fee,1995,12,13
50393,2020,Fremont,Hartwell,1966,10,4
50732,2015,Shelby,Jupp,2004,3,7
50765,2017,Georgena,Purser,1999,4,19
52637,2016,Demetris,Lantuffe,1958,10,10
51875,2021,Spense,Lukas,1954,4,5
52517,2021,Ardisj,Inker,2001,7,9
50657,2016,Marlon,Sandyfirth,1953,9,16
50969,2020,Sal,East,1969,2,9
52745,2015,Leonanie,Dacey,1963,5,23
51737,2017,Abby,Blewis,2003,3,22
51995,2018,Land,Drugan,1963,3,9
51206,2020,Casandra,Rennox,1991,5,25
51818,2017,Alvera,Syers,1992,5,21
50012,2015,Isidora,Wilcock,1960,7,7
52568,2017,Deidre,Kingsworth,1995,8,9
50882,2021,Tanhya,Challin,1956,7,28
50951,2019,Eulalie,Rubertis,2004,2,28
51968,2021,Lola,Willmore,1992,11,10
52955,2017,Sanford,Dearnley,1972,7,2
51215,2016,Donnell,Cutteridge,2004,9,15
50627,2017,Jarrett,Bellanger,1961,12,26
50450,2019,Stella,Reckhouse,1954,11,22
51950,2018,Tobe,Rowthorne,1952,11,20
52274,2020,Teddy,Jeannenet,1958,9,16
51596,2020,Thor,Devennie,2005,6,15
50348,2016,Nona,O'Daly,1959,2,13
51365,2018,Antonella,Full,1970,8,7
52715,2017,Melisandra,Judgkins,1970,4,7
50576,2019,Orbadiah,Berkowitz,1998,2,22
50777,2021,Angelico,Davenhall,1996,1,7
52646,2016,Siana,MacAirt,1978,12,18
51611,2021,Conn,Averall,1995,4,1
51449,2016,Granny,Tillard,2005,5,6
50444,2016,Esdras,Victoria,1951,8,24
51605,2020,Asa,Ryle,1956,7,8
51851,2020,Shandy,Barrowcliffe,1979,11,26
52124,2015,Fitzgerald,Nashe,1988,12,24
52985,2020,Myrta,Danihelka,1998,11,18
50483,2015,Dollie,O'Fielly,1955,7,14
50342,2018,Rosalind,Cordoba,1979,8,7
51059,2019,Aime,Warrier,1975,10,14
52307,2015,Ondrea,Daniely,1955,12,18
50048,2019,Jessey,Creffield,1976,1,23
50402,2020,Sidonia,Latliff,2000,7,18
51305,2021,Lanni,Mably,1999,3,20
51614,2017,Sigvard,Semerad,1958,2,9
51350,2021,Adamo,Geldart,1973,2,20
52280,2016,Reeta,Greenhall,1988,8,14
50756,2017,Ransell,Kennington,1960,1,16
52508,2017,Kellsie,Eake,2003,4,27
50120,2017,Stillmann,Blei,1983,1,28
50933,2016,Yance,Pooly,2005,10,9
50774,2020,Hamilton,Kearney,1993,12,15
52865,2021,Parke,Greenstreet,1951,7,10
51695,2016,Rand,Crielly,1995,5,6
52811,2018,Normie,Rummer,1985,10,23
50351,2018,Bobinette,Keeting,1956,8,3
50912,2016,Hagan,Fasler,1983,8,19
51653,2018,Jemmy,Chaudrelle,1998,8,15
51785,2017,Balduin,Boord,1995,3,15
52697,2015,Ashien,Cowburn,2005,12,26
50411,2020,Eleonore,Gook,2001,3,24
52904,2019,Tucker,Hurne,1962,1,9
52409,2018,Vanessa,Lampet,1954,7,17
51881,2018,Cordelia,Kynaston,1996,9,20
52859,2015,Kelby,McOmish,2000,6,8
52496,2017,Prentice,Ondrusek,1952,6,25
50849,2017,Osborne,Spread,1998,1,22
51767,2018,Ardys,Knell,2001,7,4
50045,2015,Sophia,De Laci,1973,3,15
50609,2016,Ilsa,Keats,1968,4,16
52520,2015,Roxi,Devonish,1952,2,16
52952,2018,Kathryne,Ramel,1958,5,26
51491,2017,Dalia,Harrema,1972,3,11
50309,2017,Dee dee,Wallworth,1984,9,3
50876,2020,Kermit,Cowitz,1962,11,20
50300,2020,Merrie,Stancliffe,2003,3,19
51713,2018,Thorny,Bromet,1953,1,15
51293,2018,Malva,Hardstaff,1964,9,16
50420,2019,Marybeth,Eddy,1968,1,15
52826,2020,Mollee,Storres,1988,10,22
50087,2019,Millie,Genicke,1974,1,7
52658,2015,Gena,Toping,1959,5,17
52241,2015,Frazier,Nardi,1962,10,15
52139,2016,Sula,Fardell,1959,4,17
51455,2016,Kerby,Kondratenya,1992,12,27
52553,2017,Queenie,Matyasik,1993,8,18
52193,2017,Nancee,Sansome,1981,7,9
52475,2017,Karyn,Brigginshaw,1982,9,11
50456,2021,Kissie,Gwilym,1977,8,2
52514,2017,George,McNee,1950,1,16
50684,2018,Archibaldo,Castaignet,1993,10,21
50261,2020,Madelle,Radbourne,1995,6,1
52364,2015,Lance,Haensel,1985,10,3
50822,2018,Massimiliano,Sanbroke,2001,4,3
52838,2017,Corine,Austick,1959,12,6
51002,2021,Andree,Conring,1959,5,20
50369,2016,Paige,Gartsyde,2004,6,12
52082,2019,Bebe,Shambroke,1955,2,28
52343,2021,Di,Slides,1957,1,8
52616,2019,Ferdinand,Townson,2005,2,4
52895,2015,Minette,Lovick,1962,4,14
52076,2020,Cart,Spick,1957,9,3
50441,2020,Kingsley,Balassi,1970,8,9
51542,2019,Bonnee,Bakeup,2001,6,15
50168,2016,Morena,Thurborn,1981,4,1
50987,2021,Orella,Tejada,2005,3,6
52058,2015,Marlo,Randalson,1968,3,17
51584,2020,Kendall,Heigl,1979,6,27
50042,2020,Scot,Linnard,1952,3,25
52949,2020,Ari,Klimp,1985,7,18
51497,2017,Yelena,Batchelor,1984,12,10
50138,2016,Elianora,Greedyer,1966,7,8
50321,2017,Finley,Macellar,1982,10,14
50333,2021,Phedra,Gorbell,1980,7,27
50366,2015,Sig,Downer,1997,4,12
50426,2015,Stanford,Daburn,1993,9,8
51893,2015,Mason,Jordison,2001,2,8
51101,2016,Chaddie,George,2002,11,19
51326,2016,Cosimo,Mollison,1973,10,13
51230,2015,Roderic,Olivazzi,1976,11,13
52817,2019,Timmie,Babb,1991,8,22
50792,2018,Kelcey,Bountiff,1959,7,15
50894,2020,Filmer,Adkins,2000,10,11
51773,2018,Morganne,Croisdall,1990,11,9
50648,2017,Michaelina,Ezzell,1957,8,28
51929,2016,Normand,Dalliston,1989,5,20
51323,2020,Samuele,Knappe,1976,9,14
52772,2016,Nickie,Munro,1959,1,5
50612,2019,Zedekiah,Curnokk,1991,1,28
52751,2020,Blanca,Folger,1988,10,8
50603,2019,Rafa,Skokoe,1991,4,3
51023,2020,Barbie,Goalby,1987,1,9
51581,2018,Leslie,Flacknell,1996,12,20
50801,2021,Fabio,Gatrill,1971,8,25
52916,2017,Francis,Verrills,1961,1,26
50477,2015,Alia,Tester,1950,12,12
50015,2019,Carlo,Thurlby,1983,5,6
52265,2018,Cari,Huonic,1957,6,6
51182,2016,Tucky,Yardley,1986,9,27
51716,2015,Dierdre,Gabbett,1957,6,6
51164,2018,Skelly,Rankine,1990,11,28
52670,2021,Onfre,Fiddeman,1958,5,27
50672,2015,Goldina,Eastope,1988,2,9
51692,2020,Selby,Everist,1989,12,18
52934,2020,Bruce,Pflieger,2002,12,18
51434,2021,Caitrin,Markova,2004,8,23
50162,2017,Davon,Prayer,1984,9,2
52163,2020,Wrennie,Kleinhandler,1970,7,10
50516,2019,Francene,Mee,1967,3,13
50600,2018,Kimberli,Clemendot,1998,3,4
50459,2020,Glad,Bungey,1996,6,27
52565,2017,Melicent,Bonafant,2002,5,6
51005,2021,Waldemar,Flewin,1963,5,14
51317,2016,Kessia,Dessaur,1976,8,9
51122,2021,Toddie,Baggott,1963,5,10
52547,2021,Drusi,Deuss,1982,12,27
52673,2021,Meghan,Hessentaler,1962,2,2
50504,2018,Mortie,Neljes,1974,1,27
51992,2017,Velma,Margetts,2005,9,13
51869,2021,Creighton,Friberg,1993,11,7
52049,2015,Krisha,Gorghetto,1958,5,7
52880,2018,Greer,Weeke,1957,6,3
52232,2017,Pauli,Dunston,1964,7,5
50744,2021,Maggy,Innis,1966,8,5
50018,2020,Gertrude,Casetta,1982,9,26
51920,2021,Elisha,Prest,1976,6,15
52919,2020,Chryste,Atwater,1989,3,7
51938,2021,Curcio,Santacrole,1954,5,22
50972,2021,Sosanna,Jenno,1965,7,26
52640,2020,Joana,Gilbertson,1989,8,4
51095,2021,Marlowe,Rodear,1964,1,17
51299,2015,Artair,O'Carroll,1975,3,22
50513,2019,Roanne,Danit,1989,3,4
51806,2016,Starlin,Cuell,1960,9,26
52328,2021,Pen,Coppock.,1988,5,10
51143,2017,Husein,Belson,2001,6,2
50966,2015,Maddie,Van Son,1968,5,20
51140,2015,Artus,Ledwidge,1969,6,10
52088,2018,Velma,Longden,1951,1,16
